2019-12-20 16:47:29.089 [main] INFO  com.xinyu.ximple.web.DictCodeTest - Starting DictCodeTest on DESKTOP-BHFJGM6 with PID 14636 (started by xinyu in E:\java_workspace\workspace2\StandardProject\standard-project-starter)
2019-12-20 16:47:29.091 [main] INFO  com.xinyu.ximple.web.DictCodeTest - No active profile set, falling back to default profiles: default
2019-12-20 16:47:31.372 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-12-20 16:47:31.386 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-20 16:47:31.455 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 42ms. Found 0 repository interfaces.
2019-12-20 16:47:32.291 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-20 16:47:37.039 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2019-12-20 16:47:40.849 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-12-20 16:47:40.966 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-12-20 16:47:41.161 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-12-20 16:47:41.848 [main] INFO  com.xinyu.ximple.web.DictCodeTest - Started DictCodeTest in 14.016 seconds (JVM running for 16.422)
2019-12-20 16:47:43.224 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-12-20 16:47:43.967 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-12-20 16:47:43.969 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-12-20 16:47:45.856 [main] INFO  com.xinyu.ximple.web.DictCodeTest - 结果为：[{"isTree":0,"createBy":1,"createTime":"2020-02-01T17:19:07","dictCode":"543","updateBy":2019,"sortOrder":1,"memo":"测试","dictName":"测试","updateTime":"2019-12-18T17:19:16","codeLen":3,"id":1,"version":0}]
2019-12-20 16:47:47.025 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2019-12-20 16:47:47.058 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
